timeStamop, method, fileName, #c, #parking, #mm, #sev, time, objValue, gap
03-02-2026-01-32,c,"cg2-2,3,30",30,4,2,7,514.6333420276642,594.3468566614558,/
03-02-2026-01-32,bp,"cf3-6,4,50",50,9,5,9,494.38994908332825,848.3777086658865,/
03-02-2026-01-32,c,"cg5-3,5,30",30,7,4,5,491.30132007598877,466.67533219412917,/
03-02-2026-01-33,c,"ce1-6,4,30",30,10,5,6,380.1652121543884,603.5253139376805,/
03-02-2026-01-33,bp,"ce1-6,4,50",50,9,5,10,448.3942949771881,824.0065854567899,/
03-02-2026-01-33,c,"cf1-2,3,30",30,4,2,7,457.345988035202,610.6036536130316,/
03-02-2026-01-33,c,"cg2-3,5,30",30,7,4,6,590.2167479991913,557.6223701822455,/
03-02-2026-01-33,bp,"ce3-6,4,50",50,9,5,10,474.8660740852356,823.6656526004857,/
03-02-2026-01-33,c,"cf3-3,5,30",30,7,4,6,610.3945279121399,563.2165316478795,/
03-02-2026-01-33,c,"ce4-6,4,30",30,9,5,6,493.56212091445923,588.3241020826732,/
03-02-2026-01-34,bp,"cf4-2,3,50",50,4,2,11,598.9339261054993,870.2565003779573,/
03-02-2026-01-34,c,"ce5-2,3,50",50,4,2,11,527.1491129398346,857.0354160879369,/
03-02-2026-01-34,c,"cg5-6,4,30",30,9,5,5,612.9717118740082,500.72101593529686,/
03-02-2026-01-34,bp,"cg2-3,5,50",50,7,4,10,676.4809529781342,720.6513103719649,/
03-02-2026-01-34,bp,"cg5-3,5,30",30,7,4,5,657.2956960201263,532.0242776438455,/
03-02-2026-01-35,c,"cg4-6,4,30",30,9,5,6,681.8759019374847,544.5208423231145,/
03-02-2026-01-35,bp,"ci4-2,3,50",50,4,2,11,661.085834980011,859.259271259388,/
03-02-2026-01-35,c,"ce2-3,5,50",50,7,4,10,521.7828781604767,744.2567569900943,/
03-02-2026-01-35,bp,"cg1-6,4,30",30,9,5,6,723.7268800735474,611.0225690012259,/
03-02-2026-01-36,c,"cg5-2,3,30",30,4,2,7,697.19886302948,581.3717734250665,/
03-02-2026-01-36,c,"ce5-3,5,50",50,7,4,9,660.8024508953094,728.4499150099153,/
03-02-2026-01-36,bp,"cg3-3,5,30",30,7,4,6,783.2922420501709,606.8093576150204,/
03-02-2026-01-37,c,"ci2-3,5,50",50,7,4,10,811.8704900741577,733.06895306762,/
03-02-2026-01-38,c,"ce1-2,3,50",50,4,2,12,709.9893250465393,904.6791718182776,/
